image_path,annotation_path,clip_prefix,split,is_augmented,aug_type,temperature_C,pH,DO_mgL,turbidity_NTU,lighting_mode,resolution_px,tank_id,has_annotation,num_instances,image_width,image_height
Frames\Original\GX010206\images\GX010206_00000.jpg,Frames\Original\GX010206\annotations\GX010206_00000.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00001.jpg,Frames\Original\GX010206\annotations\GX010206_00001.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00002.jpg,Frames\Original\GX010206\annotations\GX010206_00002.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00003.jpg,Frames\Original\GX010206\annotations\GX010206_00003.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00004.jpg,Frames\Original\GX010206\annotations\GX010206_00004.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00005.jpg,Frames\Original\GX010206\annotations\GX010206_00005.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,6,550,481
Frames\Original\GX010206\images\GX010206_00006.jpg,Frames\Original\GX010206\annotations\GX010206_00006.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00007.jpg,Frames\Original\GX010206\annotations\GX010206_00007.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00008.jpg,Frames\Original\GX010206\annotations\GX010206_00008.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00009.jpg,Frames\Original\GX010206\annotations\GX010206_00009.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
